Wall time,Step,Value
1643462860.0064917,2622204,6139.99267578125
1643462871.107993,2622404,6139.99267578125
1643462877.1429908,2622504,3851.561767578125
1643462888.4839907,2622704,3851.561767578125
1643462899.8589904,2622904,3851.561767578125
1643462905.394991,2623004,3851.561767578125
1643462910.9604912,2623104,3851.561767578125
1643462916.5409913,2623204,3851.561767578125
1643462922.1054914,2623304,3851.561767578125
1643462927.9619908,2623404,3851.561767578125
1643462933.511491,2623504,3851.561767578125
1643462939.0409904,2623604,3851.561767578125
1643462945.1509912,2623704,3851.561767578125
1643462950.6934915,2623804,3851.561767578125
1643462956.1889908,2623904,3851.561767578125
1643462967.2739906,2624104,3851.561767578125
1643462978.6334908,2624304,3851.561767578125
1643462984.670492,2624404,21860.1171875
1643463013.2889917,2624904,21860.1171875
1643463019.1134913,2625004,21860.1171875
1643463025.9244905,2625104,17170.29296875
1643463031.439491,2625204,17170.29296875
1643463036.935492,2625304,17170.29296875
1643463048.265991,2625504,17170.29296875
1643463065.2484915,2625804,17170.29296875
1643463070.8639908,2625904,17170.29296875
1643463083.0984907,2626104,17170.29296875
1643463088.6249907,2626204,17170.29296875
1643463094.1599908,2626304,17170.29296875
1643463100.0184906,2626404,17170.29296875
1643463111.1444912,2626604,17170.29296875
1643463122.9014907,2626804,17170.29296875
1643463128.8024914,2626904,17170.29296875
1643463146.3564923,2627204,17170.29296875
1643463152.2314918,2627304,17170.29296875
1643463158.0614924,2627404,17170.29296875
1643463163.579492,2627504,17170.29296875
1643463169.6024907,2627604,17170.29296875
1643463186.1614907,2627904,17170.29296875
1643463191.8829906,2628004,17170.29296875
1643463204.3314912,2628204,17170.29296875
1643463209.8929908,2628304,17170.29296875
1643463215.4469922,2628404,17170.29296875
1643463221.003991,2628504,17170.29296875
1643463227.113491,2628604,17170.29296875
1643463232.6484914,2628704,17170.29296875
1643463238.213991,2628804,17170.29296875
1643463249.559491,2629004,17170.29296875
1643463255.3774915,2629104,17170.29296875
1643463261.4809906,2629204,17170.29296875
1643463267.3644915,2629304,17170.29296875
1643463279.1694913,2629504,17170.29296875
1643463290.623992,2629704,17170.29296875
1643463296.4989913,2629804,17170.29296875
1643463307.9444907,2630004,17170.29296875
1643463313.4979904,2630104,17170.29296875
1643463326.0954912,2630304,17170.29296875
1643463331.9329915,2630404,17170.29296875
1643463337.4924908,2630504,17170.29296875
1643463343.2849908,2630604,17170.29296875
1643463349.1589923,2630704,17170.29296875
1643463354.9719908,2630804,17170.29296875
1643463367.3824916,2631004,146022.40625
1643463373.1889908,2631104,146022.40625
1643463384.310491,2631204,121424.5234375
1643463390.115491,2631304,121424.5234375
1643463418.8589914,2631804,103762.078125
1643463424.4129915,2631904,103762.078125
1643463435.5199907,2632104,103762.078125
1643463446.9559906,2632304,103762.078125
1643463452.5464914,2632404,103762.078125
1643463458.141991,2632504,103762.078125
1643463476.9174914,2632804,103762.078125
1643463499.8454905,2633204,103762.078125
1643463516.704491,2633504,103762.078125
1643463528.5839913,2633704,99825.171875
1643463534.124991,2633804,99825.171875
1643463540.428992,2633904,99825.171875
1643463564.2579908,2634304,79793.9140625
1643463570.341491,2634404,79793.9140625
1643463575.8874907,2634504,79793.9140625
1643463581.424491,2634604,79793.9140625
1643463592.8564916,2634804,79793.9140625
1643463598.4379911,2634904,79793.9140625
1643463615.3894923,2635204,79793.9140625
1643463632.962992,2635504,79793.9140625
1643463638.5259917,2635604,79793.9140625
1643463649.6079907,2635804,79793.9140625
1643463661.030991,2636004,79793.9140625
1643463666.6554909,2636104,79793.9140625
1643463672.2574906,2636204,79793.9140625
1643463677.880991,2636304,79793.9140625
1643463683.516991,2636404,79793.9140625
1643463689.1164913,2636504,79793.9140625
1643463700.6324914,2636704,79793.9140625
1643463707.3489907,2636804,82055.0625
1643463713.4639904,2636904,82055.0625
1643463719.2959902,2637004,82055.0625
1643463730.6724916,2637204,82055.0625
1643463736.2279916,2637304,82055.0625
1643463741.7874904,2637404,82055.0625
1643463753.2609913,2637604,82055.0625
1643463759.1329916,2637704,82055.0625
1643463765.0139914,2637804,82055.0625
1643463776.4074905,2638004,82055.0625
1643463781.9694912,2638104,82055.0625
1643463793.3329916,2638304,82055.0625
1643463799.1599913,2638404,82055.0625
1643463810.942992,2638604,82055.0625
1643463817.1304908,2638704,82055.0625
1643463823.0774915,2638804,82055.0625
1643463835.1069906,2639004,82055.0625
1643463858.8259912,2639404,84099.375
1643463864.382991,2639504,84099.375
1643463870.2024908,2639604,84099.375
1643463875.717991,2639704,84099.375
1643463886.7654908,2639904,84099.375
1643463892.3194911,2640004,84099.375
1643463903.4909906,2640204,84099.375
1643463915.1619914,2640404,84099.375
1643463921.0094907,2640504,84099.375
1643463926.5314908,2640604,84099.375
1643463932.0919912,2640704,84099.375
1643463943.4704921,2640904,84099.375
1643463949.3409908,2641004,84099.375
1643464060.2424903,2641704,81634.4140625
1643464083.721992,2642104,81634.4140625
1643464100.344491,2642404,81634.4140625
1643464106.5369904,2642504,81634.4140625
1643464113.005991,2642604,81634.4140625
1643464119.410491,2642704,81634.4140625
1643464142.4279907,2643104,81634.4140625
1643464148.026991,2643204,81634.4140625
1643464153.633991,2643304,81634.4140625
1643464159.4939907,2643404,81634.4140625
1643464176.4629903,2643704,81634.4140625
1643464182.2969902,2643804,81634.4140625
1643464187.8309925,2643904,81634.4140625
1643464194.2189906,2644004,81634.4140625
1643464199.821991,2644104,81634.4140625
1643464205.3964918,2644204,81634.4140625
1643464216.8139918,2644404,81634.4140625
1643464222.640991,2644504,81634.4140625
1643464228.4619918,2644604,81634.4140625
1643464239.8729906,2644804,81634.4140625
1643464245.4364922,2644904,81634.4140625
1643464251.0529904,2645004,81634.4140625
1643464256.666492,2645104,81634.4140625
1643464262.7724907,2645204,81634.4140625
1643464268.5739915,2645304,81634.4140625
1643464285.8664916,2645604,81634.4140625
1643464291.4484909,2645704,81634.4140625
1643464302.616993,2645904,81634.4140625
1643464325.654991,2646304,81634.4140625
1643464331.375492,2646404,81634.4140625
1643464342.9569914,2646604,81634.4140625
1643464348.5594912,2646704,81634.4140625
1643464354.7109916,2646804,81634.4140625
1643464360.2594914,2646904,81634.4140625
1643464366.6679914,2647004,81634.4140625
1643464372.7099915,2647104,81634.4140625
1643464389.5894911,2647404,81634.4140625
1643464406.4499915,2647704,81634.4140625
1643464412.2074912,2647804,81634.4140625
1643464418.3459907,2647904,81634.4140625
1643464424.2379909,2648004,81634.4140625
1643464435.723992,2648204,81634.4140625
1643464446.9319909,2648404,81634.4140625
1643464459.1949906,2648604,147479.640625
1643464470.5634944,2648804,147479.640625
1643464482.4054904,2649004,147479.640625
1643464487.9614942,2649104,147479.640625
1643464493.4914906,2649204,147479.640625
1643464499.0519924,2649304,147479.640625
1643464504.884993,2649404,147479.640625
1643464516.2624912,2649604,147479.640625
1643464522.1459913,2649704,147479.640625
1643464533.209991,2649904,147479.640625
1643464544.3669903,2650104,147479.640625
1643464555.8364913,2650304,147479.640625
1643464590.1384904,2650804,143255.34375
1643464601.8344913,2651004,143255.34375
1643464607.6789906,2651104,143255.34375
1643464618.8659906,2651304,143255.34375
1643464624.663491,2651404,143255.34375
1643464630.315491,2651504,143255.34375
1643464636.7324908,2651604,143255.34375
1643464642.3419907,2651704,143255.34375
1643464648.236991,2651804,143255.34375
1643464653.7969904,2651904,143255.34375
1643464660.278492,2652004,143255.34375
1643464666.1504908,2652104,143255.34375
1643464671.747494,2652204,143255.34375
1643464694.7254913,2652604,143255.34375
1643464700.5849907,2652704,143255.34375
1643464711.7704952,2652904,143255.34375
1643464728.529493,2653204,143255.34375
1643464752.911991,2653604,132079.890625
1643464759.0134916,2653704,132079.890625
1643464764.5774903,2653804,132079.890625
1643464770.4899905,2653904,132079.890625
1643464782.624992,2654104,132079.890625
1643464788.963492,2654204,132079.890625
1643464794.7894912,2654304,132079.890625
1643464801.1929908,2654404,132079.890625
1643464806.9329915,2654504,132079.890625
1643464812.5084908,2654604,132079.890625
1643464829.6099908,2654904,132079.890625
1643464835.4884923,2655004,132079.890625
1643464847.618991,2655204,132079.890625
1643464859.550991,2655404,132079.890625
1643464871.1204913,2655604,132079.890625
1643464882.6749914,2655804,132079.890625
1643464893.9044912,2656004,132079.890625
1643464899.7709904,2656104,132079.890625
1643464906.207991,2656204,132079.890625
1643464911.7409906,2656304,132079.890625
1643464917.3109932,2656404,132079.890625
1643464922.8669906,2656504,132079.890625
1643464928.422494,2656604,132079.890625
1643464934.4994917,2656704,132079.890625
1643464940.355993,2656804,132079.890625
1643464951.4999907,2657004,132079.890625
1643464962.6979918,2657204,132079.890625
1643464968.565491,2657304,132079.890625
1643464979.9864917,2657504,132079.890625
1643464991.7159908,2657704,132079.890625
1643464997.5569906,2657804,132079.890625
1643465003.071491,2657904,132079.890625
